month,Actuals,_2025_02,_2025_04
2025-02-01,75997.0,76577.66,
2025-03-01,75959.0,76943.63,
2025-04-01,75890.0,77315.87,
2025-05-01,,77666.02,76588.840527809
2025-06-01,,77983.98,77492.20607485305
2025-07-01,,78010.86,77370.59830215892
2025-08-01,,,77271.04289945084
2025-09-01,,,77531.50057966504
2025-10-01,,,77180.56482946663
