date,gdp,cons_exp,bus_inv,govt_exp,net_exp,imports,exports,cpi,rdi,unrate,initial_claims,continued_claims,savings,cons_debt_di,credit_card_delinq,mortgage_delinq,cons_sent,home_price,oil_prices,ppi_farm_products,ppi_food_mfg,ppi_grocery,wages_retail,us_population,cpi_fah,cpi_fafh,grocery_sales,restaurant_sales,grocery_units,restaurant_units,rdi_adj,grocery_sales_lag1,covid1,covid2,gdp_diff,cons_exp_diff,bus_inv_diff,govt_exp_diff,net_exp_diff,imports_diff,exports_diff,cpi_diff,rdi_diff,unrate_diff,initial_claims_diff,continued_claims_diff,savings_diff,cons_debt_di_diff,credit_card_delinq_diff,mortgage_delinq_diff,cons_sent_diff,home_price_diff,oil_prices_diff,ppi_farm_products_diff,ppi_food_mfg_diff,ppi_grocery_diff,wages_retail_diff,us_population_diff,cpi_fah_diff,cpi_fafh_diff,grocery_sales_diff,restaurant_sales_diff,grocery_units_diff,restaurant_units_diff,rdi_adj_diff,grocery_sales_lag1_diff,gdp_yoy,cons_exp_yoy,bus_inv_yoy,govt_exp_yoy,net_exp_yoy,imports_yoy,exports_yoy,cpi_yoy,rdi_yoy,unrate_yoy,initial_claims_yoy,continued_claims_yoy,savings_yoy,cons_debt_di_yoy,credit_card_delinq_yoy,mortgage_delinq_yoy,cons_sent_yoy,home_price_yoy,oil_prices_yoy,ppi_farm_products_yoy,ppi_food_mfg_yoy,ppi_grocery_yoy,wages_retail_yoy,us_population_yoy,cpi_fah_yoy,cpi_fafh_yoy,grocery_sales_yoy,restaurant_sales_yoy,grocery_units_yoy,restaurant_units_yoy,rdi_adj_yoy,grocery_sales_lag1_yoy
2016-01-01,19001.69,12798.7,528.095,6313.945,-510.318,2799.72,2266.512,237.652,14121.1,4.8,1398000,11038000,834.8,5.672469,2.15,4.79,92.0,175.021,31.683157894736844,166.5,193.4,193.0,17.7,323509.0,241.558,259.958,51598.0,44115.0,213.60501411669247,169.70049007916663,14121.1,51376.0,0,0,109.48400000000038,21.400000000001455,-63.55200000000002,66.72099999999955,-3.187999999999988,40.19599999999991,-6.5,-0.10900000000000887,60.899999999999636,-0.20000000000000018,314000.0,2223000.0,42.5,-0.03960899999999956,-0.010000000000000231,-0.3200000000000003,-0.5999999999999943,-0.07900000000000773,-5.505478468899518,6.099999999999994,-1.6999999999999886,-0.8000000000000114,0.0,191.0,-0.32200000000000273,0.8610000000000468,222.0,-3851.0,1.2021697310467232,-15.427087623392651,60.899999999999636,-220.0,1.7950168913805964,2.515078456030184,-23.9786833115723,3.3609630693333115,15.030531718499574,1.4566280271524956,-0.9604145264281105,1.2375025026943876,2.3438689056871853,-15.789473684210531,-2.781641168289295,-6.05157885777513,-0.09573958831977647,4.262824259615039,1.8957345971563955,-23.237179487179493,-6.218144750254839,5.28085562012004,-32.901675396054884,-7.858328721638063,-5.704534373476344,5.811403508771917,2.3121387283236983,0.7825618307959248,-0.41021962210321394,2.735173116974998,0.708500048794769,4.221791721791712,1.1233277818798015,1.4470395675725056,2.3438689056871853,0.45951389296259304
2016-02-01,19001.69,12884.0,528.095,6313.945,-510.318,2799.72,2266.512,237.336,14135.3,4.9,1067000,8802000,768.3,5.672469,2.15,4.79,91.7,175.267,30.323,163.6,194.3,191.5,17.73,323687.0,241.741,260.319,51578.0,45179.0,213.36058012500985,173.5524491105144,14135.3,51598.0,0,0,0.0,85.29999999999927,0.0,0.0,0.0,0.0,0.0,-0.3159999999999741,14.199999999998909,0.10000000000000053,-331000.0,-2236000.0,-66.5,0.0,0.0,0.0,-0.29999999999999716,0.24600000000000932,-1.3601578947368438,-2.9000000000000057,0.9000000000000057,-1.5,0.030000000000001137,178.0,0.18300000000002115,0.36099999999999,-20.0,1064.0,-0.24443399168262658,3.851959031347775,14.199999999998909,222.0,1.7950168913805964,2.9558657833963276,-23.9786833115723,3.3609630693333115,15.030531718499574,1.4566280271524956,-0.9604145264281105,0.8472775790126619,2.0746678220681547,-10.909090909090901,-11.452282157676352,-5.971584232453797,-10.548375829549428,4.262824259615039,1.8957345971563955,-23.237179487179493,-3.8784067085953944,5.187759192908548,-40.05441681406722,-5.542725173210162,-4.049382716049377,4.302832244008714,2.3081361800346256,0.7855799529212559,-0.35325930139572526,2.601303016329104,0.498811425899226,10.545890528273262,0.8550914172618773,7.743164344296649,2.0746678220681547,0.708500048794769
2016-03-01,19001.69,12836.1,528.095,6313.945,-510.318,2799.72,2266.512,238.08,14135.4,5.0,1053000,8669000,821.3,5.672469,2.15,4.79,91.0,176.59099999999998,37.54636363636364,161.9,194.1,191.9,17.8,323871.0,240.414,260.883,51172.0,49151.0,212.8495012769639,188.40246393977375,14135.4,51578.0,0,0,0.0,-47.899999999999636,0.0,0.0,0.0,0.0,0.0,0.7439999999999998,0.1000000000003638,0.09999999999999964,-14000.0,-133000.0,53.0,0.0,0.0,0.0,-0.7000000000000028,1.3239999999999839,7.223363636363636,-1.6999999999999886,-0.20000000000001705,0.4000000000000057,0.07000000000000028,184.0,-1.3270000000000266,0.5639999999999645,-406.0,3972.0,-0.5110788480459405,14.85001482925935,0.1000000000003638,-20.0,1.7950168913805964,2.265013782883729,-23.9786833115723,3.3609630693333115,15.030531718499574,1.4566280271524956,-0.9604145264281105,0.8916160965521946,2.346629209415485,-7.407407407407418,-7.306338028169012,-6.845046206748339,3.896268184693219,4.262824259615039,1.8957345971563955,-23.237179487179493,-2.1505376344086002,5.063035084274836,-21.48994411283883,-7.749287749287747,-3.815659068384547,6.080707573244881,3.0689056166763207,0.786384684325836,-0.504484072953626,2.6661891794040216,-0.19698476781151442,4.754901960784319,0.30905845582787084,2.034469963358987,2.346629209415485,0.498811425899226
2016-04-01,19062.709,12870.2,499.232,6317.603,-496.323,2799.72,2284.053,238.992,14106.2,5.1,1330000,10745000,765.2,5.698551,2.21,4.58,89.0,178.488,40.7552380952381,158.9,194.8,193.6,17.8,324061.0,240.341,261.517,51832.0,48963.0,215.66024939565037,187.22683420198305,14106.2,51172.0,0,0,61.01900000000023,34.100000000000364,-28.863,3.6580000000003565,13.995000000000005,0.0,17.540999999999713,0.9119999999999777,-29.19999999999891,0.09999999999999964,277000.0,2076000.0,-56.09999999999991,0.026081999999999717,0.06000000000000005,-0.20999999999999996,-2.0,1.8970000000000198,3.2088744588744618,-3.0,0.700000000000017,1.6999999999999886,0.0,190.0,-0.07299999999997908,0.6340000000000146,660.0,-188.0,2.810748118686462,-1.1756297377907003,-29.19999999999891,-406.0,1.493250832714721,2.3491427299042744,-25.00690997800823,4.2571713077060425,8.155642769510374,1.4566280271524956,-0.46085901505604765,1.1726257503534843,1.9086837162259895,-5.55555555555557,16.25874125874125,17.740521586675428,-3.5907773718029445,4.328557409943401,4.245283018867907,-21.305841924398628,-7.1949947862356645,5.014561821551489,-25.155005203277614,-9.61319681456201,-3.1809145129224503,6.725468577728777,2.5345622119815836,0.7846661980854597,-0.31728783190795307,2.6655988568153433,1.3610763454317887,7.161147709614579,1.6837063727856538,4.3788268931924,1.9086837162259895,-0.19698476781151442
2016-05-01,19062.709,12891.2,499.232,6317.603,-496.323,2799.72,2284.053,239.557,14095.5,4.8,1098000,8679000,732.0,5.698551,2.21,4.58,94.7,180.337,46.71238095238096,162.7,195.7,195.0,17.83,324260.0,239.348,262.074,51957.0,49712.0,217.07722646523047,189.68688233094468,14095.5,51832.0,0,0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.5649999999999977,-10.700000000000728,-0.2999999999999998,-232000.0,-2066000.0,-33.200000000000045,0.0,0.0,0.0,5.700000000000003,1.8489999999999895,5.957142857142863,3.799999999999983,0.8999999999999773,1.4000000000000057,0.029999999999997584,199.0,-0.992999999999995,0.5570000000000164,125.0,749.0,1.4169770695800992,2.460048128961631,-10.700000000000728,660.0,1.493250832714721,2.2080918439350894,-25.00690997800823,4.2571713077060425,8.155642769510374,1.4566280271524956,-0.46085901505604765,1.0784764621246223,1.658060235402714,-14.28571428571428,-19.854014598540147,-23.208281720049552,-5.839979418574737,4.328557409943401,4.245283018867907,-21.305841924398628,4.4101433296582115,4.94105187202496,-21.18049278261881,-9.106145251396658,-3.405725567620932,4.8387096774193505,2.5301897642322935,0.7832411263753336,-0.7295516098661525,2.644503803040865,1.496356781465491,2.04869236769718,2.242266885492228,-0.5804611189771935,1.658060235402714,1.3610763454317887
2016-06-01,19062.709,12948.6,499.232,6317.603,-496.323,2799.72,2284.053,240.222,14104.9,4.9,1061000,8627000,682.3,5.698551,2.21,4.58,93.5,181.907,48.75727272727273,166.7,197.5,193.9,17.9,324476.0,238.763,262.529,52276.0,47906.0,218.94514644228795,182.4788880466539,14104.9,51957.0,0,0,0.0,57.399999999999636,0.0,0.0,0.0,0.0,0.0,0.6650000000000205,9.399999999999636,0.10000000000000053,-37000.0,-52000.0,-49.700000000000045,0.0,0.0,0.0,-1.2000000000000028,1.5700000000000216,2.0448917748917665,4.0,1.8000000000000114,-1.0999999999999943,0.07000000000000028,216.0,-0.585000000000008,0.4549999999999841,319.0,-1806.0,1.8679199770574826,-7.207994284290777,9.399999999999636,125.0,1.493250832714721,2.590796729416245,-25.00690997800823,4.2571713077060425,8.155642769510374,1.4566280271524956,-0.46085901505604765,1.0792865347959424,1.6635313281582187,-7.547169811320742,-3.1050228310502304,-5.145684442001097,-11.722085651442626,4.328557409943401,4.245283018867907,-21.305841924398628,-2.7055150884495283,4.878175339875246,-18.49273952721443,-8.204845814977979,-3.4701857282502413,3.912111468381574,2.7554535017221493,0.7833417196245529,-1.305792776184056,2.612118227371152,1.6963660415531878,4.007815892314381,3.0418794599859744,1.3601684567612127,1.6635313281582187,1.496356781465491
2016-07-01,19197.938,12972.2,491.415,6406.46,-479.531,2799.72,2321.136,240.101,14160.1,4.8,1297000,10673000,709.5,5.778718,2.29,4.38,90.0,183.008,44.6515,160.8,197.3,193.8,17.86,324697.0,238.38,263.051,51976.0,49407.0,218.03842604245324,187.82289365940449,14160.1,52276.0,0,0,135.22899999999936,23.600000000000364,-7.817000000000007,88.85699999999997,16.791999999999973,0.0,37.083000000000084,-0.12100000000000932,55.20000000000073,-0.10000000000000053,236000.0,2046000.0,27.200000000000045,0.08016699999999943,0.08000000000000007,-0.20000000000000018,-3.5,1.100999999999999,-4.105772727272729,-5.899999999999977,-0.19999999999998863,-0.09999999999999432,-0.03999999999999915,221.0,-0.3830000000000098,0.5219999999999914,-300.0,1501.0,-0.9067203998347111,5.344005612750578,55.20000000000073,319.0,1.8057615310855146,2.398092892551551,-23.14687819136375,2.885270122695438,-3.35933091495364,1.4566280271524956,1.9786028827367463,0.8683633430518256,1.8294656148198252,-7.692307692307699,16.741674167416743,18.86624345695511,-6.311897530701172,4.069066765212037,6.511627906976747,-18.738404452690162,-3.329752953813103,4.881054037170962,-12.277598185422656,-10.11738401341531,-3.046683046683041,4.193548387096779,2.1154945683247606,0.7793634732732091,-1.5975232198142453,2.792442507961934,0.7833708213759394,5.081032795950491,2.4195468641594164,2.2264188223869663,1.8294656148198252,1.6963660415531878
2016-08-01,19197.938,12986.1,491.415,6406.46,-479.531,2799.72,2321.136,240.545,14176.7,4.9,1054000,8580000,714.4,5.778718,2.29,4.38,89.8,183.645,44.72434782608696,152.9,196.2,191.7,17.88,324924.0,238.133,263.649,52212.0,48499.0,219.25562605770725,183.95290708479837,14176.7,51976.0,0,0,0.0,13.899999999999636,0.0,0.0,0.0,0.0,0.0,0.4439999999999884,16.600000000000364,0.10000000000000053,-243000.0,-2093000.0,4.899999999999977,0.0,0.0,0.0,-0.20000000000000284,0.6370000000000005,0.07284782608696361,-7.900000000000006,-1.1000000000000227,-2.1000000000000227,0.019999999999999574,227.0,-0.24699999999998568,0.5980000000000132,236.0,-908.0,1.217200015254008,-3.8699865746061164,16.600000000000364,-300.0,1.8057615310855146,2.255171382001153,-23.14687819136375,2.885270122695438,-3.35933091495364,1.4566280271524956,1.9786028827367463,1.0553158595656864,1.7286413410066315,-3.9215686274509665,-23.401162790697672,-23.868677905944992,-5.5651024454725695,4.069066765212037,6.511627906976747,-18.738404452690162,-2.2850924918389692,4.981992797118839,4.331308385486454,-14.197530864197528,-3.587223587223598,3.119956966110804,1.9384264538198304,0.7744388652315193,-1.948003821068578,2.8075757753003527,1.331366688662028,3.561743289701269,3.344521924618671,0.7335719266926777,1.7286413410066315,0.7833708213759394
2016-09-01,19197.938,13020.9,491.415,6406.46,-479.531,2799.72,2321.136,241.176,14209.1,5.0,1006000,8438000,716.0,5.778718,2.29,4.38,91.2,183.933,45.18238095238095,149.2,196.1,192.5,17.9,325155.0,237.88,264.102,52510.0,46245.0,220.74155036152683,175.10280119044916,14209.1,52212.0,0,0,0.0,34.79999999999927,0.0,0.0,0.0,0.0,0.0,0.6310000000000002,32.399999999999636,0.09999999999999964,-48000.0,-142000.0,1.6000000000000227,0.0,0.0,0.0,1.4000000000000057,0.2879999999999825,0.45803312629399073,-3.700000000000017,-0.09999999999999432,0.8000000000000114,0.019999999999999574,231.0,-0.2530000000000143,0.45299999999997453,298.0,-2254.0,1.485924303819587,-8.850105894349213,32.399999999999636,236.0,1.8057615310855146,2.4686791740115677,-23.14687819136375,2.885270122695438,-3.35933091495364,1.4566280271524956,1.9786028827367463,1.5486446201652182,1.6955096548861182,0.0,-6.679035250463827,-5.951850200624165,-8.708402397041947,4.069066765212037,6.511627906976747,-18.738404452690162,4.587155963302747,5.084155078441888,-0.6533552514475405,-12.595196250732277,-2.6315789473684292,2.7214514407684076,1.4164305949008416,0.7701366721418079,-2.1866956142731486,2.432610634914467,2.121783776425046,6.1030170930366,4.404798935845888,3.5832401765137467,1.6955096548861182,1.331366688662028
2016-10-01,19304.352,13014.9,548.307,6454.322,-537.183,2799.72,2303.823,241.741,14235.4,4.9,1279000,10363000,745.1,5.880476,2.37,4.14,87.2,184.006,49.775238095238095,140.7,194.6,191.7,17.95,325368.0,237.714,264.459,52818.0,47842.0,222.19137282616927,180.90516866508608,14235.4,52510.0,0,0,106.41400000000067,-6.0,56.891999999999996,47.86200000000008,-57.65199999999999,0.0,-17.313000000000102,0.5650000000000261,26.299999999999272,-0.09999999999999964,273000.0,1925000.0,29.100000000000023,0.10175800000000024,0.08000000000000007,-0.2400000000000002,-4.0,0.0730000000000075,4.592857142857142,-8.5,-1.5,-0.8000000000000114,0.05000000000000071,213.0,-0.16599999999999682,0.35700000000002774,308.0,1597.0,1.4498224646424376,5.802367474636924,26.299999999999272,298.0,2.1815663030564147,2.3513868463891585,-7.325313911842713,3.3150404083477802,5.92609390097214,1.4566280271524956,1.3555141811833593,1.685924966243646,1.703948731504834,-1.9999999999999907,-4.19475655430711,-6.115238267802137,-6.500188229388881,2.9481039999804004,9.72222222222221,-18.982387475538175,-3.111111111111109,5.123458906066114,7.683518673567069,-15.79892280071814,-2.4561403508772006,1.1609498680738684,1.527149321266963,0.7640112604172744,-2.289505269561498,2.3594709768813615,2.9992199687987497,2.9391513899647226,5.412648101875517,0.5663182972235781,1.703948731504834,2.121783776425046
2016-11-01,19304.352,13036.8,548.307,6454.322,-537.183,2799.72,2303.823,242.026,14273.6,4.7,983000,8179000,759.0,5.880476,2.37,4.14,93.8,184.217,45.66095238095238,147.6,193.4,191.9,18.07,325562.0,237.438,264.699,52834.0,46138.0,222.51703602624687,174.30364300582926,14273.6,52818.0,0,0,0.0,21.899999999999636,0.0,0.0,0.0,0.0,0.0,0.2849999999999966,38.20000000000073,-0.20000000000000018,-296000.0,-2184000.0,13.899999999999977,0.0,0.0,0.0,6.599999999999994,0.21100000000001273,-4.114285714285714,6.900000000000006,-1.1999999999999886,0.20000000000001705,0.120000000000001,194.0,-0.27600000000001046,0.2400000000000091,16.0,-1704.0,0.3256632000775994,-6.601525659256822,38.20000000000073,308.0,2.1815663030564147,2.353772473894944,-7.325313911842713,3.3150404083477802,5.92609390097214,1.4566280271524956,1.3555141811833593,1.6843334719788938,2.002372547057907,-7.843137254901955,-8.472998137802612,-7.414534752094182,-1.4925373134328401,2.9481039999804004,9.72222222222221,-18.982387475538175,2.7382256297918905,5.189918231236601,7.580553867971251,-10.21897810218979,-2.3725391216557257,2.020202020202033,2.2058823529411686,0.7579391729828355,-2.1302028803904305,2.277390313170158,2.399410807039315,5.622453184377996,4.628203818481369,3.270579021390141,2.002372547057907,2.9992199687987497
2016-12-01,19304.352,13128.5,548.307,6454.322,-537.183,2799.72,2303.823,242.637,14313.7,4.7,1261000,10242000,706.5,5.880476,2.37,4.14,98.2,184.389,51.9704761904762,153.1,194.5,192.4,17.89,325742.0,237.147,265.104,53210.0,50168.0,224.3755982576208,189.23894018951052,14313.7,52834.0,0,0,0.0,91.70000000000073,0.0,0.0,0.0,0.0,0.0,0.61099999999999,40.100000000000364,0.0,278000.0,2063000.0,-52.5,0.0,0.0,0.0,4.400000000000006,0.17199999999999704,6.309523809523817,5.5,1.0999999999999943,0.5,-0.17999999999999972,180.0,-0.2909999999999968,0.4049999999999727,376.0,4030.0,1.8585622313739236,14.935297183681257,40.100000000000364,16.0,2.1815663030564147,2.7486245137861687,-7.325313911842713,3.3150404083477802,5.92609390097214,1.4566280271524956,1.3555141811833593,2.0507989115119862,1.8029615510448016,-5.999999999999995,16.328413284132836,16.188315371525807,-10.829231351760694,2.9481039999804004,9.72222222222221,-18.982387475538175,6.047516198704117,5.304968589377501,39.748270633805106,-4.551122194513724,-0.3075345976422339,-0.7223942208462342,1.0734463276836248,0.7497262756790635,-1.9567554159087175,2.3184367244699855,3.569760199314853,4.590751782512603,5.636814284010683,2.2208265985940168,1.8029615510448016,2.399410807039315
2017-01-01,19398.343,13136.3,505.484,6497.531,-525.099,2931.589,2359.904,243.618,14373.7,4.7,976000,8324000,762.6,5.74436,2.4,3.91,98.5,184.642,52.504,156.1,195.2,193.2,17.97,325901.0,237.072,266.079,53316.0,46469.0,224.89370317878112,174.64362087951324,14373.7,53210.0,0,0,93.9910000000018,7.799999999999272,-42.823000000000036,43.20899999999983,12.083999999999946,131.86900000000014,56.08100000000013,0.9809999999999945,60.0,0.0,-285000.0,-1918000.0,56.10000000000002,-0.13611599999999946,0.029999999999999805,-0.22999999999999954,0.29999999999999716,0.2529999999999859,0.5335238095237997,3.0,0.6999999999999886,0.799999999999983,0.0799999999999983,159.0,-0.07499999999998863,0.9750000000000227,106.0,-3699.0,0.5181049211603295,-14.59531930999728,60.0,376.0,2.0874616941966906,2.637767898302168,-4.281615997121735,2.9076274817091408,2.8964292852691864,4.7100781506722145,4.120516458770118,2.5103933482571117,1.7888124862794008,-2.083333333333326,-30.1859799713877,-24.587787642688895,-8.648778150455193,1.2673669966287937,11.627906976744185,-18.37160751565762,7.065217391304346,5.497054639157595,65.71580451177779,-6.246246246246246,0.9307135470527417,0.10362694300518616,1.5254237288135464,0.7393921034654305,-1.857110921600602,2.354611129490136,3.329586418078212,5.336053496543136,5.284842731229911,2.9128559369749674,1.7888124862794008,3.569760199314853
2017-02-01,19398.343,13143.4,505.484,6497.531,-525.099,2931.589,2359.904,244.006,14416.8,4.6,921000,8239000,800.6,5.74436,2.4,3.91,96.3,185.01,53.46842105263158,160.3,195.5,193.8,17.98,326050.0,237.824,266.626,53687.0,45935.0,225.74256593110871,172.28252308477045,14416.8,53316.0,0,0,0.0,7.100000000000364,0.0,0.0,0.0,0.0,0.0,0.38800000000000523,43.099999999998545,-0.10000000000000053,-55000.0,-85000.0,38.0,0.0,0.0,0.0,-2.200000000000003,0.367999999999995,0.9644210526315788,4.200000000000017,0.30000000000001137,0.6000000000000227,0.010000000000001563,149.0,0.7520000000000095,0.5469999999999686,371.0,-534.0,0.8488627523275909,-2.36109779474279,43.099999999998545,106.0,2.0874616941966906,2.013349891338101,-4.281615997121735,2.9076274817091408,2.8964292852691864,4.7100781506722145,4.120516458770118,2.8103616813294208,1.9914681683445012,-6.122448979591855,-13.683223992502347,-6.396273574187683,4.204086945203711,1.2673669966287937,11.627906976744185,-18.37160751565762,5.016357688113415,5.558947206262443,76.32958827501098,-2.017114914425422,0.6176016469377155,1.2010443864229892,1.410039481105474,0.7300262290422577,-1.6203291952957888,2.4227966456539685,4.088952654232414,1.6733438101772968,5.803314651115099,-0.7317246355511231,1.9914681683445012,3.329586418078212
2017-03-01,19398.343,13201.7,505.484,6497.531,-525.099,2931.589,2359.904,243.892,14476.3,4.4,935000,8070000,803.7,5.74436,2.4,3.91,96.9,186.518,49.32782608695652,162.8,196.7,195.4,18.01,326207.0,238.387,267.055,54117.0,52500.0,227.01321800265956,196.58871767987867,14476.3,53687.0,0,0,0.0,58.30000000000109,0.0,0.0,0.0,0.0,0.0,-0.11400000000000432,59.5,-0.1999999999999993,14000.0,-169000.0,3.1000000000000227,0.0,0.0,0.0,0.6000000000000085,1.5080000000000098,-4.1405949656750565,2.5,1.1999999999999886,1.5999999999999943,0.030000000000001137,157.0,0.5629999999999882,0.42900000000003047,430.0,6565.0,1.2706520715508418,24.306194595108224,59.5,371.0,2.0874616941966906,2.848217137604103,-4.281615997121735,2.9076274817091408,2.8964292852691864,4.7100781506722145,4.120516458770118,2.44119623655914,2.41167565120195,-11.99999999999999,-11.206077872744535,-6.909678163571343,-2.142944112991585,1.2673669966287937,11.627906976744185,-18.37160751565762,6.483516483516483,5.6214642875344945,31.37843804182023,0.5558987029030238,1.3395157135497104,1.8238665971860302,1.179775280898876,0.7212748285582826,-0.8431289359188687,2.3658114940414032,5.7551004455561605,6.813696567719885,6.654333996895567,4.345088471200564,2.41167565120195,4.088952654232414
2017-04-01,19506.949,13206.1,549.561,6527.353,-544.566,2931.589,2367.862,244.193,14509.3,4.4,1139000,9777000,827.3,5.787621,2.49,3.68,97.0,188.531,51.060526315789474,165.5,197.2,195.9,18.03,326371.0,238.568,267.652,54199.0,50879.0,227.1847020555984,190.09385321238025,14509.3,54117.0,0,0,108.60599999999977,4.399999999999636,44.077000000000055,29.822000000000116,-19.466999999999985,0.0,7.958000000000084,0.30100000000001614,33.0,0.0,204000.0,1707000.0,23.59999999999991,0.04326099999999933,0.0900000000000003,-0.22999999999999998,0.09999999999999432,2.0130000000000052,1.7327002288329538,2.6999999999999886,0.5,0.5,0.019999999999999574,164.0,0.1810000000000116,0.59699999999998,82.0,-1621.0,0.17148405293883684,-6.494864467498417,33.0,430.0,2.3304137937582903,2.6099050519805322,10.081284853535033,3.3200883309698392,9.72008147919803,4.7100781506722145,3.669310650847435,2.176223471915395,2.85760871106322,-13.725490196078416,-14.360902255639097,-9.008841321544903,8.115525352848918,1.5630289173510947,12.669683257918575,-19.650655021834062,8.98876404494382,5.626708798350588,25.285800555181794,4.153555695405919,1.2320328542094305,1.1880165289256173,1.2921348314606673,0.7128287575487224,-0.7377018486234177,2.3459277981928484,4.566676956320426,3.913158915916104,5.343800117195108,1.5313077436881928,2.85760871106322,5.7551004455561605
2017-05-01,19506.949,13214.5,549.561,6527.353,-544.566,2931.589,2367.862,244.004,14610.7,4.4,956000,7585000,914.7,5.787621,2.49,3.68,97.1,190.526,48.47636363636364,167.3,198.9,193.9,18.11,326548.0,238.893,268.128,54318.0,52483.0,227.3737614748025,195.73860245852728,14610.7,54199.0,0,0,0.0,8.399999999999636,0.0,0.0,0.0,0.0,0.0,-0.18900000000002137,101.40000000000146,0.0,-183000.0,-2192000.0,87.40000000000009,0.0,0.0,0.0,0.09999999999999432,1.9950000000000045,-2.5841626794258374,1.8000000000000114,1.700000000000017,-2.0,0.0799999999999983,177.0,0.32499999999998863,0.4759999999999991,119.0,1604.0,0.1890594192041135,5.644749246147029,101.40000000000146,82.0,2.3304137937582903,2.507912374332877,10.081284853535033,3.3200883309698392,9.72008147919803,4.7100781506722145,3.669310650847435,1.8563431667619756,3.655067220034769,-8.333333333333325,-12.932604735883423,-12.605138840880281,24.959016393442624,1.5630289173510947,12.669683257918575,-19.650655021834062,2.5343189017951406,5.649977542046303,3.776263697157489,2.827289489858642,1.635155850792036,-0.5641025641025643,1.5703869882220944,0.7056066119780491,-0.19009977104467168,2.3100345703884972,4.544142271493734,5.574106855487604,4.743258966974717,3.1903735530980137,3.655067220034769,4.566676956320426
2017-06-01,19506.949,13256.7,549.561,6527.353,-544.566,2931.589,2367.862,244.163,14618.7,4.3,992000,7667000,874.2,5.787621,2.49,3.68,95.0,192.252,45.17772727272728,167.6,201.3,194.2,18.13,326743.0,238.494,268.225,54152.0,51654.0,227.05812305550663,192.57712741168797,14618.7,54318.0,0,0,0.0,42.20000000000073,0.0,0.0,0.0,0.0,0.0,0.15900000000002024,8.0,-0.10000000000000053,36000.0,82000.0,-40.5,0.0,0.0,0.0,-2.0999999999999943,1.725999999999999,-3.298636363636355,0.29999999999998295,2.4000000000000057,0.29999999999998295,0.019999999999999574,195.0,-0.3990000000000009,0.09700000000003683,-166.0,-829.0,-0.31563841929587966,-3.161475046839314,8.0,119.0,2.3304137937582903,2.379407812427603,10.081284853535033,3.3200883309698392,9.72008147919803,4.7100781506722145,3.669310650847435,1.640565809959127,3.642705726378792,-12.244897959183687,-6.503298774740807,-11.127854410571459,28.12545800967319,1.5630289173510947,12.669683257918575,-19.650655021834062,1.6042780748663166,5.686971914219896,-7.341562097962062,0.5398920215956782,1.9240506329113893,0.1547189272820937,1.2849162011173254,0.6986649243703624,-0.11266402248254481,2.1696650655737226,3.588644884841985,7.823654657036694,3.705483654261865,5.5339220186678695,3.642705726378792,4.544142271493734
2017-07-01,19660.766,13290.1,580.906,6635.02,-541.784,2931.589,2381.788,244.243,14660.2,4.3,1254000,9636000,882.1,5.841377,2.54,3.64,93.4,193.496,46.630526315789474,169.4,200.3,193.1,18.18,326939.0,238.904,268.649,54139.0,51813.0,226.61403743763185,192.86503951252377,14660.2,54152.0,0,0,153.8169999999991,33.399999999999636,31.344999999999914,107.66700000000037,2.782000000000039,0.0,13.92599999999993,0.07999999999998408,41.5,0.0,262000.0,1969000.0,7.899999999999977,0.053755999999999915,0.04999999999999982,-0.040000000000000036,-1.5999999999999943,1.2439999999999998,1.4527990430621927,1.8000000000000114,-1.0,-1.0999999999999943,0.05000000000000071,196.0,0.4099999999999966,0.42399999999997817,-13.0,159.0,-0.4440856178747765,0.287912100835797,41.5,-166.0,2.410821412174591,2.450625183083832,18.21088082374367,3.567648904387144,12.982059554022563,4.7100781506722145,2.6130308607509534,1.7251073506566073,3.5317547192463383,-10.416666666666663,-3.3153430994602884,-9.716106062025675,24.326990838618755,1.0843062423187888,10.917030567685583,-16.894977168949765,3.777777777777791,5.730897009966784,4.432160881021852,5.348258706467668,1.5205271160668943,-0.3611971104231282,1.791713325867872,0.690489902894087,0.21981709874989708,2.128104436021916,4.1615360935816526,4.86975529783229,3.933073426932965,2.684521441918908,3.5317547192463383,3.588644884841985
