,cpi_fah,rdi_adj,home_price,covid1,covid2,grocery_sales,y_fitted,residuals,y_forecast,actual_and_forecast,fitted_and_forecast,grocery_sales_lag1,y_fitted_ar,residuals_ar,y_forecast_ar
2007-07-01,201.596,12066.4,180.993,0,0,40638.0,41219.90197546158,581.9019754615802,,40638.0,41219.90197546158,40547.0,40918.92301569847,280.9230156984704,
2007-08-01,202.338,12070.9,180.234,0,0,40628.0,41296.90635233648,668.9063523364821,,40628.0,41296.90635233648,40638.0,41002.47340134995,374.4734013499474,
2007-09-01,203.3,12089.6,179.122,0,0,40776.0,41434.1257799049,658.1257799048981,,40776.0,41434.1257799049,40628.0,41056.671105941954,280.671105941954,
2007-10-01,204.081,12080.4,177.52900000000002,0,0,41019.0,41447.97680222055,428.9768022205535,,41019.0,41447.97680222055,40776.0,41143.01657102848,124.01657102847821,
2007-11-01,205.119,12070.1,175.16099999999997,0,0,41517.0,41465.353965050046,-51.6460349499539,,41517.0,41465.353965050046,41019.0,41282.943948093896,-234.05605190610368,
2007-12-01,205.503,12120.5,173.33700000000002,0,0,41616.0,41617.59422257963,1.5942225796316052,,41616.0,41617.59422257963,41517.0,41626.90645456803,10.906454568030313,
2008-01-01,207.1,12137.1,171.076,0,0,41820.0,41787.426585587134,-32.57341441286553,,41820.0,41787.426585587134,41616.0,41754.710146856705,-65.28985314329475,
2008-02-01,207.854,12141.8,169.19,0,0,41677.0,41834.16489302789,157.16489302788978,,41677.0,41834.16489302789,41820.0,41887.00153678154,210.0015367815431,
2008-03-01,208.093,12145.9,167.90200000000002,0,0,41830.0,41837.54588744064,7.54588744063949,,41830.0,41837.54588744064,41677.0,41808.39515549074,-21.604844509260147,
2008-04-01,210.897,12100.8,167.321,0,0,42196.0,41995.88990237002,-200.11009762997855,,42196.0,41995.88990237002,41830.0,41958.690539936375,-237.309460063625,
2008-05-01,211.8,12696.2,167.019,0,0,42288.0,43989.51447719361,1701.5144771936102,,42288.0,43989.51447719361,42196.0,43061.62298565647,773.6229856564678,
2008-06-01,213.331,12376.6,166.53599999999997,0,0,42293.0,43130.12658517697,837.1265851769713,,42293.0,43130.12658517697,42288.0,42720.45719321243,427.45719321243087,
2008-07-01,216.028,12188.7,165.713,0,0,42552.0,42813.779891825194,261.7798918251938,,42552.0,42813.779891825194,42293.0,42574.073467345566,22.073467345566314,
2008-08-01,217.449,12120.6,164.27700000000002,0,0,42717.0,42716.98988709184,-0.010112908159499057,,42717.0,42716.98988709184,42552.0,42670.59388548412,-46.40611451587756,
2008-09-01,218.757,12149.0,161.912,0,0,42535.0,42888.62679465312,353.6267946531225,,42535.0,42888.62679465312,42717.0,42836.441046773536,301.4410467735361,
2008-10-01,219.532,12240.5,159.162,0,0,42440.0,43189.944272493776,749.9442724937762,,42440.0,43189.944272493776,42535.0,42869.501663230774,429.5016632307743,
2008-11-01,219.662,12345.9,156.071,0,0,42220.0,43452.4963589812,1232.4963589812032,,42220.0,43452.4963589812,42440.0,42934.62926434013,714.6292643401321,
2008-12-01,219.163,12288.8,152.54399999999998,0,0,41663.0,43112.5902266228,1449.5902266228004,,41663.0,43112.5902266228,42220.0,42659.13451260044,996.134512600438,
2009-01-01,218.953,12361.5,149.361,0,0,42496.0,43229.516545476035,733.5165454760354,,42496.0,43229.516545476035,41663.0,42402.765136238806,-93.23486376119399,
2009-02-01,217.93,12241.9,147.61700000000002,0,0,41772.0,42681.671339946646,909.6713399466462,,41772.0,42681.671339946646,42496.0,42618.972355683414,846.9723556834142,
2009-03-01,216.949,12242.7,146.514,0,0,41693.0,42541.083779909466,848.0837799094661,,41693.0,42541.083779909466,41772.0,42155.566894993855,462.5668949938554,
2009-04-01,215.807,12320.0,146.942,0,0,41952.0,42670.09183099722,718.0918309972185,,41952.0,42670.09183099722,41693.0,42172.67290243938,220.67290243937896,
2009-05-01,215.064,12500.1,148.16899999999998,0,0,42001.0,43195.32751831914,1194.3275183191436,,42001.0,43195.32751831914,41952.0,42555.86507871632,554.8650787163206,
2009-06-01,214.953,12273.2,149.796,0,0,42178.0,42505.380652229476,327.38065222947625,,42178.0,42505.380652229476,42001.0,42271.51574090662,93.51574090662325,
2009-07-01,214.047,12218.7,150.748,0,0,42131.0,42255.73081859226,124.73081859225931,,42131.0,42255.73081859226,42178.0,42258.95945994091,127.95945994091016,
2009-08-01,213.769,12194.8,150.668,0,0,42053.0,42145.57501982665,92.5750198266469,,42053.0,42145.57501982665,42131.0,42183.63712527836,130.63712527835742,
2009-09-01,213.299,12230.6,149.628,0,0,42342.0,42176.566822666944,-165.43317733305594,,42342.0,42176.566822666944,42053.0,42155.182819175905,-186.81718082409498,
2009-10-01,213.472,12193.2,148.585,0,0,42462.0,42047.054380572314,-414.9456194276863,,42462.0,42047.054380572314,42342.0,42256.34612723479,-205.65387276520778,
2009-11-01,213.383,12224.4,147.94,0,0,42509.0,42118.006941584295,-390.9930584157046,,42509.0,42118.006941584295,42462.0,42355.08292597665,-153.91707402335305,
2009-12-01,213.839,12280.2,146.666,0,0,42734.0,42311.411151943445,-422.58884805655543,,42734.0,42311.411151943445,42509.0,42467.39163284731,-266.6083671526867,
2010-01-01,214.738,12285.8,145.003,0,0,42690.0,42383.89513663082,-306.10486336918257,,42690.0,42383.89513663082,42734.0,42622.71322672673,-67.28677327327023,
2010-02-01,214.728,12292.0,143.054,0,0,43396.0,42346.73396062546,-1049.266039374539,,43396.0,42346.73396062546,42690.0,42581.09817631808,-814.9018236819174,
2010-03-01,215.55,12340.3,143.596,0,0,42963.0,42609.8276181595,-353.17238184050075,,42963.0,42609.8276181595,43396.0,43090.16405955455,127.16405955454684,
2010-04-01,215.721,12447.1,145.40200000000002,0,0,42845.0,43021.72194819213,176.72194819212746,,42845.0,43021.72194819213,42963.0,43036.261138299255,191.26113829925453,
2010-05-01,215.717,12540.3,147.037,0,0,42931.0,43365.42943064708,434.4294306470765,,42931.0,43365.42943064708,42845.0,43126.63268247997,195.63268247996893,
2010-06-01,215.476,12544.3,147.703,0,0,42587.0,43369.854108779444,782.8541087794438,,42587.0,43369.854108779444,42931.0,43177.01678438208,590.0167843820818,
2010-07-01,215.451,12554.2,147.563,0,0,42725.0,43394.58786938508,669.5878693850827,,42725.0,43394.58786938508,42587.0,42997.36389759273,272.3638975927315,
2010-08-01,215.361,12591.4,146.42700000000002,0,0,42920.0,43470.510766577,550.5107665769974,,42920.0,43470.510766577,42725.0,43108.23471819484,188.23471819484257,
2010-09-01,216.166,12589.9,144.608,0,0,43314.0,43505.18643605955,191.18643605955003,,43314.0,43505.18643605955,42920.0,43229.97864320502,-84.02135679498315,
2010-10-01,216.534,12592.5,143.128,0,0,43167.0,43512.9540956863,345.9540956862984,,43167.0,43512.9540956863,43314.0,43450.987350824005,283.98735082400526,
2010-11-01,217.105,12605.1,141.816,0,0,43760.0,43580.52128037359,-179.47871962640784,,43760.0,43580.52128037359,43167.0,43398.47054388552,-361.5294561144765,
2010-12-01,217.419,12680.6,140.625,0,0,43830.0,43823.005407542994,-6.994592457005638,,43830.0,43823.005407542994,43760.0,43836.25487944225,6.254879442247329,
2011-01-01,219.251,12740.1,139.032,0,0,44329.0,44175.55775352025,-153.44224647975352,,44329.0,44175.55775352025,43830.0,44030.25775027955,-298.7422497204534,
2011-02-01,220.732,12776.6,137.727,0,0,44644.0,44423.060951148145,-220.93904885185475,,44644.0,44423.060951148145,44329.0,44415.591851551,-228.4081484490016,
2011-03-01,223.193,12742.7,137.781,0,0,44748.0,44596.31381595113,-151.68618404887093,,44748.0,44596.31381595113,44644.0,44663.39805979721,-84.60194020278868,
2011-04-01,224.098,12721.3,139.156,0,0,45439.0,44670.32386011879,-768.6761398812087,,45439.0,44670.32386011879,44748.0,44752.90344587607,-686.0965541239275,
2011-05-01,225.295,12705.3,140.692,0,0,45034.0,44799.37800141271,-234.62199858728854,,45034.0,44799.37800141271,45439.0,45192.4027070497,158.40270704970317,
2011-06-01,225.857,12756.9,141.944,0,0,45456.0,45063.762202517355,-392.23779748264496,,45456.0,45063.762202517355,45034.0,45086.33521766362,-369.6647823363819,
2011-07-01,227.178,12805.6,142.342,0,0,45506.0,45380.754720487625,-125.24527951237542,,45506.0,45380.754720487625,45456.0,45461.09098686601,-44.90901313399081,
2011-08-01,228.492,12799.7,141.784,0,0,45700.0,45495.3809728233,-204.61902717669727,,45700.0,45495.3809728233,45506.0,45537.709315881526,-162.29068411847402,
2011-09-01,229.927,12781.7,140.165,0,0,45606.0,45554.783948424076,-51.21605157592421,,45606.0,45554.783948424076,45700.0,45668.75517354896,62.755173548961466,
2011-10-01,229.992,12791.9,138.405,0,0,45679.0,45544.32495861654,-134.67504138345976,,45679.0,45544.32495861654,45606.0,45611.354226285184,-67.64577371481573,
2011-11-01,229.947,12782.7,136.66,0,0,45821.0,45459.89198447933,-361.1080155206728,,45821.0,45459.89198447933,45679.0,45613.390372674556,-207.6096273254443,
2011-12-01,230.424,12898.5,135.162,0,0,45766.0,45840.69655618205,74.69655618204706,,45766.0,45840.69655618205,45821.0,45863.09371722076,97.09371722076321,
2012-01-01,230.948,12967.5,134.162,0,0,45926.0,46091.7926557884,165.7926557883984,,45926.0,46091.7926557884,45766.0,45944.817105998285,18.817105998285115,
2012-02-01,230.612,13029.6,133.991,0,0,45975.0,46246.812775921324,271.8127759213239,,45975.0,46246.812775921324,45926.0,46104.416918623734,129.4169186237341,
2012-03-01,231.051,13066.4,135.859,0,0,46457.0,46467.62874349146,10.628743491462956,,46457.0,46467.62874349146,45975.0,46230.9378729333,-226.0621270667034,
