date,gdp,cons_exp,bus_inv,govt_exp,net_exp,imports,exports,cpi,rdi,unrate,initial_claims,continued_claims,savings,cons_debt_di,credit_card_delinq,mortgage_delinq,cons_sent,home_price,oil_prices,ppi_farm_products,ppi_food_mfg,ppi_grocery,"Import Index: Food, Feed, Bev",us_population,cpi_fah,cpi_fafh,grocery_sales,restaurant_sales,grocery_units,restaurant_units,rdi_adj,grocery_sales_lag1,covid1,covid2,gdp_diff,cons_exp_diff,bus_inv_diff,govt_exp_diff,net_exp_diff,imports_diff,exports_diff,cpi_diff,rdi_diff,unrate_diff,initial_claims_diff,continued_claims_diff,savings_diff,cons_debt_di_diff,credit_card_delinq_diff,mortgage_delinq_diff,cons_sent_diff,home_price_diff,oil_prices_diff,ppi_farm_products_diff,ppi_food_mfg_diff,ppi_grocery_diff,"Import Index: Food, Feed, Bev_diff",us_population_diff,cpi_fah_diff,cpi_fafh_diff,grocery_sales_diff,restaurant_sales_diff,grocery_units_diff,restaurant_units_diff,rdi_adj_diff,grocery_sales_lag1_diff,gdp_yoy,cons_exp_yoy,bus_inv_yoy,govt_exp_yoy,net_exp_yoy,imports_yoy,exports_yoy,cpi_yoy,rdi_yoy,unrate_yoy,initial_claims_yoy,continued_claims_yoy,savings_yoy,cons_debt_di_yoy,credit_card_delinq_yoy,mortgage_delinq_yoy,cons_sent_yoy,home_price_yoy,oil_prices_yoy,ppi_farm_products_yoy,ppi_food_mfg_yoy,ppi_grocery_yoy,"Import Index: Food, Feed, Bev_yoy",us_population_yoy,cpi_fah_yoy,cpi_fafh_yoy,grocery_sales_yoy,restaurant_sales_yoy,grocery_units_yoy,restaurant_units_yoy,rdi_adj_yoy,grocery_sales_lag1_yoy
2015-07-01,18857.418,12668.4,639.421,6226.8,-496.2,2759.524,2276.101,238.034,13905.7,5.2,1111000,8979000,757.3,5.552772,2.15,5.39,93.1,174.481,50.90090909090909,178.9,203.5,186.0,175.4,322186.0,242.25,255.905,51301.0,46408.0,211.7688338493292,181.34854731247924,,51137.0,0,0,75.17500000000291,46.79999999999927,-26.2829999999999,167.16600000000017,-37.303,0.0,-18.527000000000044,0.37699999999998113,31.600000000000364,-0.09999999999999964,16000.0,-116000.0,-15.600000000000023,0.0906520000000004,0.029999999999999805,-0.4300000000000006,-3.0,1.0430000000000064,-8.918636363636367,-2.6999999999999886,-1.0999999999999943,-0.5999999999999943,-0.09999999999999432,232.0,0.32800000000000296,0.0589999999999975,164.0,947.0,0.3907863794835862,3.659625070192874,-385.41710044467254,209.0,2.4473213664345517,3.638862528224096,1.1319638631963835,3.026464439092491,47.948930486066786,5.190803670572475,-0.5109297619099618,0.22568611104094582,3.8762064122867423,-16.129032258064512,-7.953603976801993,-11.397276494967434,4.744121715076055,2.5145244103695896,-2.272727272727282,-23.654390934844194,13.814180929095343,4.402745283414022,-50.86245858838501,-10.23582538886102,-4.41521841240019,4.966139954853288,-1.7917133258678497,0.7870616573341316,0.8727733037967367,2.6864893062076067,2.4995004995004955,9.323910482921093,1.6126523961074835,6.463772616591168,,2.6187991651950515
2015-08-01,18857.418,12699.7,639.421,6226.8,-496.2,2759.524,2276.101,238.033,13935.8,5.1,1376000,11270000,756.5,5.552772,2.15,5.39,91.9,174.92,42.86761904761905,178.2,203.5,185.9,175.9,322427.0,242.864,256.449,51214.0,46225.0,210.87522234666315,180.2502641850816,,51301.0,0,0,0.0,31.30000000000109,0.0,0.0,0.0,0.0,0.0,-0.0010000000000047748,30.099999999998545,-0.10000000000000053,265000.0,2291000.0,-0.7999999999999545,0.0,0.0,0.0,-1.1999999999999886,0.43899999999999295,-8.033290043290037,-0.700000000000017,0.0,-0.09999999999999432,0.5,241.0,0.6140000000000043,0.5440000000000111,-87.0,-183.0,-0.8936115026660616,-1.09828312739765,-385.41710044467254,164.0,2.4473213664345517,3.1950595213911415,1.1319638631963835,3.026464439092491,47.948930486066786,5.190803670572475,-0.5109297619099618,0.2413037985344868,3.643489837050695,-16.393442622950815,-8.874172185430462,-10.012775471095491,8.72377119862029,2.5145244103695896,-2.272727272727282,-23.654390934844194,11.393939393939402,4.468519690870654,-55.59425036749109,-6.847882906429703,-4.41521841240019,5.565019875070987,-2.169076751946608,0.783948436948112,0.9023980855200842,2.661318409453939,1.9468110518353399,6.196011762543652,1.0350724919640175,3.4430624970078094,,2.4995004995004955
2015-09-01,18857.418,12707.2,639.421,6226.8,-496.2,2759.524,2276.101,237.498,13972.2,5.0,1078000,8972000,784.3,5.552772,2.15,5.39,87.2,175.025,45.47952380952381,170.7,201.4,187.4,174.7,322670.0,243.198,257.83,51114.0,43024.0,210.17442577652776,166.8696427878835,,51214.0,0,0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,-0.5349999999999966,36.400000000001455,-0.09999999999999964,-298000.0,-2298000.0,27.799999999999955,0.0,0.0,0.0,-4.700000000000003,0.10500000000001819,2.6119047619047606,-7.5,-2.0999999999999943,1.5,-1.200000000000017,243.0,0.3340000000000032,1.3809999999999718,-100.0,-3201.0,-0.7007965701353953,-13.380621397198098,-385.41710044467254,-87.0,2.4473213664345517,3.2249679127877684,1.1319638631963835,3.026464439092491,47.948930486066786,5.190803670572475,-0.5109297619099618,0.008842961634170088,3.6029155513372935,-15.254237288135597,-8.644067796610166,-8.364824839137984,8.015424872607069,2.5145244103695896,-2.272727272727282,-23.654390934844194,3.073286052009472,4.661870847759664,-51.208459986206535,-11.600207146556196,-5.268109125117581,6.6590779738190164,-2.99833425874515,0.782094288587798,0.7748790028508923,2.8973939418126538,1.3905143514569618,7.735069487917867,0.6109016003766898,4.701455849154801,,1.9468110518353399
2015-10-01,18892.206,12715.9,591.647,6247.224,-507.13,2759.524,2273.012,237.733,13996.9,5.0,1335000,11038000,796.9,5.712078,2.16,5.11,90.0,175.02900000000002,46.22363636363636,167.1,199.5,189.5,172.9,322901.0,243.284,258.363,50985.0,45883.0,209.56988540142385,177.5912185568367,,51114.0,0,0,34.78799999999683,8.699999999998909,-47.774,20.423999999999978,-10.930000000000007,0.0,-3.088999999999942,0.23500000000001364,24.69999999999891,0.0,257000.0,2066000.0,12.600000000000023,0.15930599999999995,0.010000000000000231,-0.27999999999999936,2.799999999999997,0.004000000000019099,0.7441125541125473,-3.5999999999999943,-1.9000000000000057,2.0999999999999943,-1.799999999999983,231.0,0.08599999999998431,0.5330000000000155,-129.0,2859.0,-0.6045403751039089,10.721575768953215,-385.41710044467254,-100.0,2.119861312664817,2.637802584529947,-4.630901259881092,2.793760854702687,31.624299870745375,5.190803670572475,-1.4625345020199298,0.12761656067050708,3.2928188211678977,-12.28070175438597,15.58441558441559,13.875992984628072,12.699759581388758,4.126787945738886,0.46511627906977715,-21.38461538461538,3.5673187571921616,4.871837889010067,-45.230683346110965,-12.741514360313321,-5.807365439093493,4.522890237175936,-4.999999999999993,0.7796431369244461,0.6886847115304962,2.8924731182795815,0.6892329567896427,7.772349321181937,0.0005444954025435322,4.742695024244137,,1.3905143514569618
2015-11-01,18892.206,12737.0,591.647,6247.224,-507.13,2759.524,2273.012,238.017,13993.4,5.1,1074000,8834000,770.5,5.712078,2.16,5.11,91.3,175.11900000000003,42.4435,164.4,198.1,188.1,172.6,323113.0,242.606,258.805,51259.0,43128.0,211.2849640981674,166.64283920326113,,50985.0,0,0,0.0,21.100000000000364,0.0,0.0,0.0,0.0,0.0,0.2839999999999918,-3.5,0.09999999999999964,-261000.0,-2204000.0,-26.399999999999977,0.0,0.0,0.0,1.2999999999999972,0.09000000000000341,-3.780136363636359,-2.6999999999999886,-1.4000000000000057,-1.4000000000000057,-0.30000000000001137,212.0,-0.6779999999999973,0.4420000000000073,274.0,-2755.0,1.7150786967435465,-10.948379353575575,-385.41710044467254,-129.0,2.119861312664817,2.547380963882584,-4.630901259881092,2.793760854702687,31.624299870745375,5.190803670572475,-1.4625345020199298,0.4363182169185187,2.7083761486744296,-12.06896551724138,-26.337448559670783,-26.652274991697112,3.506179473401394,4.126787945738886,0.46511627906977715,-21.38461538461538,2.8153153153153143,5.084430469378232,-43.99815972222222,-16.165221825599176,-5.666666666666664,4.849498327759183,-4.588170259812053,0.778813284427482,0.28688117993318496,2.705695135066488,1.1684133657015483,5.5403288958496555,0.8790104701598134,2.7599577190489333,,0.6892329567896427
2015-12-01,18892.206,12777.3,591.647,6247.224,-507.13,2759.524,2273.012,237.761,14060.2,5.0,1084000,8815000,792.3,5.712078,2.16,5.11,92.6,175.092,37.18863636363636,160.4,195.1,193.8,172.4,323318.0,241.88,259.097,51053.0,47365.0,211.0674714734579,182.8079831105725,,51259.0,0,0,0.0,40.29999999999927,0.0,0.0,0.0,0.0,0.0,-0.2560000000000002,66.80000000000109,-0.09999999999999964,10000.0,-19000.0,21.799999999999955,0.0,0.0,0.0,1.2999999999999972,-0.027000000000015234,-5.254863636363638,-4.0,-3.0,5.700000000000017,-0.19999999999998863,205.0,-0.7259999999999991,0.29199999999997317,-206.0,4237.0,-0.21749262470947883,16.165143907311375,-385.41710044467254,274.0,2.119861312664817,2.5868921164823977,-4.630901259881092,2.793760854702687,31.624299870745375,5.190803670572475,-1.4625345020199298,0.6387247515364791,2.48631469994387,-10.71428571428571,-4.7451669595782064,-7.4054621848739455,-0.8013021159384071,4.126787945738886,0.46511627906977715,-21.38461538461538,-1.0683760683760646,5.1938454883536656,-37.27719470403791,-14.635444385311336,-6.4268585131894485,7.786429365962189,-5.326743547501367,0.7802004270373919,-0.41705606995673383,2.560682109663226,0.48814093101072764,7.170332156756265,0.9089879905572751,4.494558686889549,,1.1684133657015483
2016-01-01,19001.69,12798.7,528.095,6313.945,-510.318,2799.72,2266.512,237.652,14121.1,4.8,1398000,11038000,834.8,5.672469,2.15,4.79,92.0,175.016,31.683157894736844,166.5,193.4,193.0,173.8,323509.0,241.558,259.958,51323.0,43571.0,212.46657117545269,167.60784434408637,,51053.0,0,0,109.48400000000038,21.400000000001455,-63.55200000000002,66.72099999999955,-3.187999999999988,40.19599999999991,-6.5,-0.10900000000000887,60.899999999999636,-0.20000000000000018,314000.0,2223000.0,42.5,-0.03960899999999956,-0.010000000000000231,-0.3200000000000003,-0.5999999999999943,-0.07600000000002183,-5.505478468899518,6.099999999999994,-1.6999999999999886,-0.8000000000000114,1.4000000000000057,191.0,-0.32200000000000273,0.8610000000000468,270.0,-3794.0,1.3990997019947713,-15.200138766486134,-385.41710044467254,-206.0,1.7950168913805964,2.515078456030184,-23.9786833115723,3.3609630693333115,15.030531718499574,1.4566280271524956,-0.9604145264281105,1.2375025026943876,2.3438689056871853,-15.789473684210531,-2.781641168289295,-6.05157885777513,-0.09573958831977647,4.262824259615039,1.8957345971563955,-23.237179487179493,-6.218144750254839,5.282914445901543,-32.901675396054884,-7.858328721638063,-5.704534373476344,5.811403508771917,-2.905027932960891,0.7825618307959248,-0.41021962210321394,2.735173116974998,0.7340674007340731,4.276756653264413,1.149000448133597,1.5005411384610978,,0.48814093101072764
2016-02-01,19001.69,12884.0,528.095,6313.945,-510.318,2799.72,2266.512,237.336,14135.3,4.9,1067000,8802000,768.3,5.672469,2.15,4.79,91.7,175.263,30.323,163.6,194.3,191.5,171.0,323687.0,241.741,260.319,51245.0,44624.0,211.98307279278237,171.42044952538998,,51323.0,0,0,0.0,85.29999999999927,0.0,0.0,0.0,0.0,0.0,-0.3159999999999741,14.199999999998909,0.10000000000000053,-331000.0,-2236000.0,-66.5,0.0,0.0,0.0,-0.29999999999999716,0.2470000000000141,-1.3601578947368438,-2.9000000000000057,0.9000000000000057,-1.5,-2.8000000000000114,178.0,0.18300000000002115,0.36099999999999,-78.0,1053.0,-0.4834983826703194,3.81260518130361,-385.41710044467254,270.0,1.7950168913805964,2.9558657833963276,-23.9786833115723,3.3609630693333115,15.030531718499574,1.4566280271524956,-0.9604145264281105,0.8472775790126619,2.0746678220681547,-10.909090909090901,-11.452282157676352,-5.971584232453797,-10.548375829549428,4.262824259615039,1.8957345971563955,-23.237179487179493,-3.8784067085953944,5.191040368756528,-40.05441681406722,-5.542725173210162,-4.049382716049377,4.302832244008714,-4.575892857142849,0.7855799529212559,-0.35325930139572526,2.601303016329104,0.42722480255550366,10.627959441703648,0.7832510110008517,7.823152522826238,,0.7340674007340731
2016-03-01,19001.69,12836.1,528.095,6313.945,-510.318,2799.72,2266.512,238.08,14135.4,5.0,1053000,8669000,821.3,5.672469,2.15,4.79,91.0,176.58599999999998,37.54636363636364,161.9,194.1,191.9,170.4,323871.0,240.414,260.883,50893.0,48553.0,211.68900313625664,186.1102486555276,,51245.0,0,0,0.0,-47.899999999999636,0.0,0.0,0.0,0.0,0.0,0.7439999999999998,0.1000000000003638,0.09999999999999964,-14000.0,-133000.0,53.0,0.0,0.0,0.0,-0.7000000000000028,1.322999999999979,7.223363636363636,-1.6999999999999886,-0.20000000000001705,0.4000000000000057,-0.5999999999999943,184.0,-1.3270000000000266,0.5639999999999645,-352.0,3929.0,-0.29406965652572126,14.68979913013763,-385.41710044467254,-78.0,1.7950168913805964,2.265013782883729,-23.9786833115723,3.3609630693333115,15.030531718499574,1.4566280271524956,-0.9604145264281105,0.8916160965521946,2.346629209415485,-7.407407407407418,-7.306338028169012,-6.845046206748339,3.896268184693219,4.262824259615039,1.8957345971563955,-23.237179487179493,-2.1505376344086002,5.064435903233089,-21.48994411283883,-7.749287749287747,-3.815659068384547,6.080707573244881,-4.269662921348316,0.786384684325836,-0.504484072953626,2.6661891794040216,-0.1549870517146723,4.850238624829939,0.35126911799243654,2.1273307822981646,,0.42722480255550366
2016-04-01,19062.709,12870.2,499.232,6317.603,-496.323,2799.72,2284.053,238.992,14106.2,5.1,1330000,10745000,765.2,5.698551,2.21,4.58,89.0,178.481,40.7552380952381,158.9,194.8,193.6,172.7,324061.0,240.341,261.517,51494.0,48373.0,214.25391423019792,184.9707667187984,,50893.0,0,0,61.01900000000023,34.100000000000364,-28.863,3.6580000000003565,13.995000000000005,0.0,17.540999999999713,0.9119999999999777,-29.19999999999891,0.09999999999999964,277000.0,2076000.0,-56.09999999999991,0.026081999999999717,0.06000000000000005,-0.20999999999999996,-2.0,1.8950000000000102,3.2088744588744618,-3.0,0.700000000000017,1.6999999999999886,2.299999999999983,190.0,-0.07299999999997908,0.6340000000000146,601.0,-180.0,2.5649110939412765,-1.1394819367292257,-385.41710044467254,-352.0,1.493250832714721,2.3491427299042744,-25.00690997800823,4.2571713077060425,8.155642769510374,1.4566280271524956,-0.46085901505604765,1.1726257503534843,1.9086837162259895,-5.55555555555557,16.25874125874125,17.740521586675428,-3.5907773718029445,4.328557409943401,4.245283018867907,-21.305841924398628,-7.1949947862356645,5.014150471584311,-25.155005203277614,-9.61319681456201,-3.1809145129224503,6.725468577728777,-2.097505668934252,0.7846661980854597,-0.31728783190795307,2.6655988568153433,1.3063151682077612,7.271477358406875,1.6287708919655586,4.48629195453798,,-0.1549870517146723
2016-05-01,19062.709,12891.2,499.232,6317.603,-496.323,2799.72,2284.053,239.557,14095.5,4.8,1098000,8679000,732.0,5.698551,2.21,4.58,94.7,180.329,46.71238095238096,162.7,195.7,195.0,173.3,324260.0,239.348,262.074,51671.0,49117.0,215.88231361866403,187.41653120874253,,51494.0,0,0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.5649999999999977,-10.700000000000728,-0.2999999999999998,-232000.0,-2066000.0,-33.200000000000045,0.0,0.0,0.0,5.700000000000003,1.8480000000000132,5.957142857142863,3.799999999999983,0.8999999999999773,1.4000000000000057,0.6000000000000227,199.0,-0.992999999999995,0.5570000000000164,177.0,744.0,1.6283993884661072,2.445764489944139,-385.41710044467254,601.0,1.493250832714721,2.2080918439350894,-25.00690997800823,4.2571713077060425,8.155642769510374,1.4566280271524956,-0.46085901505604765,1.0784764621246223,1.658060235402714,-14.28571428571428,-19.854014598540147,-23.208281720049552,-5.839979418574737,4.328557409943401,4.245283018867907,-21.305841924398628,4.4101433296582115,4.940060521415268,-21.18049278261881,-9.106145251396658,-3.405725567620932,4.8387096774193505,-1.8686296715741735,0.7832411263753336,-0.7295516098661525,2.644503803040865,1.458922400251339,2.163196538885548,2.204557394076412,-0.4689070006893892,,1.3063151682077612
2016-06-01,19062.709,12948.6,499.232,6317.603,-496.323,2799.72,2284.053,240.222,14104.9,4.9,1061000,8627000,682.3,5.698551,2.21,4.58,93.5,181.901,48.75727272727273,166.7,197.5,193.9,172.3,324476.0,238.763,262.529,51987.0,47334.0,217.7347411449848,180.30008113389377,,51671.0,0,0,0.0,57.399999999999636,0.0,0.0,0.0,0.0,0.0,0.6650000000000205,9.399999999999636,0.10000000000000053,-37000.0,-52000.0,-49.700000000000045,0.0,0.0,0.0,-1.2000000000000028,1.5720000000000027,2.0448917748917665,4.0,1.8000000000000114,-1.0999999999999943,-1.0,216.0,-0.585000000000008,0.4549999999999841,316.0,-1783.0,1.8524275263207812,-7.116450074848757,-385.41710044467254,177.0,1.493250832714721,2.590796729416245,-25.00690997800823,4.2571713077060425,8.155642769510374,1.4566280271524956,-0.46085901505604765,1.0792865347959424,1.6635313281582187,-7.547169811320742,-3.1050228310502304,-5.145684442001097,-11.722085651442626,4.328557409943401,4.245283018867907,-21.305841924398628,-2.7055150884495283,4.879553500386313,-18.49273952721443,-8.204845814977979,-3.4701857282502413,3.912111468381574,-1.8233618233618132,0.7833417196245529,-1.305792776184056,2.612118227371152,1.6622015370475474,4.120014957875973,3.007262935402988,1.4695113565081908,,1.458922400251339
2016-07-01,19197.938,12972.2,491.415,6406.46,-479.531,2799.72,2321.136,240.101,14160.1,4.8,1297000,10673000,709.5,5.778718,2.29,4.38,90.0,183.004,44.6515,160.8,197.3,193.8,177.6,324697.0,238.38,263.051,51685.0,48817.0,216.8176860474872,185.57998258892763,,51987.0,0,0,135.22899999999936,23.600000000000364,-7.817000000000007,88.85699999999997,16.791999999999973,0.0,37.083000000000084,-0.12100000000000932,55.20000000000073,-0.10000000000000053,236000.0,2046000.0,27.200000000000045,0.08016699999999943,0.08000000000000007,-0.20000000000000018,-3.5,1.1029999999999802,-4.105772727272729,-5.899999999999977,-0.19999999999998863,-0.09999999999999432,5.299999999999983,221.0,-0.3830000000000098,0.5219999999999914,-302.0,1483.0,-0.9170550974976095,5.279901455033865,-385.41710044467254,316.0,1.8057615310855146,2.398092892551551,-23.14687819136375,2.885270122695438,-3.35933091495364,1.4566280271524956,1.9786028827367463,0.8683633430518256,1.8294656148198252,-7.692307692307699,16.741674167416743,18.86624345695511,-6.311897530701172,4.069066765212037,6.511627906976747,-18.738404452690162,-3.329752953813103,4.88477255403168,-12.277598185422656,-10.11738401341531,-3.046683046683041,4.193548387096779,1.2542759407069504,0.7793634732732091,-1.5975232198142453,2.792442507961934,0.7485234205960811,5.1909153594208,2.3841337303439847,2.3333163342947882,,1.6622015370475474
2016-08-01,19197.938,12986.1,491.415,6406.46,-479.531,2799.72,2321.136,240.545,14176.7,4.9,1054000,8580000,714.4,5.778718,2.29,4.38,89.8,183.642,44.72434782608696,152.9,196.2,191.7,180.0,324924.0,238.133,263.649,51926.0,47920.0,218.05461653781708,181.75680544966983,,51685.0,0,0,0.0,13.899999999999636,0.0,0.0,0.0,0.0,0.0,0.4439999999999884,16.600000000000364,0.10000000000000053,-243000.0,-2093000.0,4.899999999999977,0.0,0.0,0.0,-0.20000000000000284,0.6380000000000052,0.07284782608696361,-7.900000000000006,-1.1000000000000227,-2.1000000000000227,2.4000000000000057,227.0,-0.24699999999998568,0.5980000000000132,241.0,-897.0,1.2369304903298826,-3.823177139257808,-385.41710044467254,-302.0,1.8057615310855146,2.255171382001153,-23.14687819136375,2.885270122695438,-3.35933091495364,1.4566280271524956,1.9786028827367463,1.0553158595656864,1.7286413410066315,-3.9215686274509665,-23.401162790697672,-23.868677905944992,-5.5651024454725695,4.069066765212037,6.511627906976747,-18.738404452690162,-2.2850924918389692,4.98627944203065,4.331308385486454,-14.197530864197528,-3.587223587223598,3.119956966110804,2.33086981239341,0.7744388652315193,-1.948003821068578,2.8075757753003527,1.3902448549224733,3.666846944294222,3.404569826298287,0.8358053018115541,,0.7485234205960811
2016-09-01,19197.938,13020.9,491.415,6406.46,-479.531,2799.72,2321.136,241.176,14209.1,5.0,1006000,8438000,716.0,5.778718,2.29,4.38,91.2,183.929,45.18238095238095,149.2,196.1,192.5,180.8,325155.0,237.88,264.102,52284.0,45692.0,219.79149150832356,173.00891322292145,,51926.0,0,0,0.0,34.79999999999927,0.0,0.0,0.0,0.0,0.0,0.6310000000000002,32.399999999999636,0.09999999999999964,-48000.0,-142000.0,1.6000000000000227,0.0,0.0,0.0,1.4000000000000057,0.28700000000000614,0.45803312629399073,-3.700000000000017,-0.09999999999999432,0.8000000000000114,0.8000000000000114,231.0,-0.2530000000000143,0.45299999999997453,358.0,-2228.0,1.7368749705064772,-8.747892226748377,-385.41710044467254,241.0,1.8057615310855146,2.4686791740115677,-23.14687819136375,2.885270122695438,-3.35933091495364,1.4566280271524956,1.9786028827367463,1.5486446201652182,1.6955096548861182,0.0,-6.679035250463827,-5.951850200624165,-8.708402397041947,4.069066765212037,6.511627906976747,-18.738404452690162,4.587155963302747,5.087273246679036,-0.6533552514475405,-12.595196250732277,-2.6315789473684292,2.7214514407684076,3.4917000572409984,0.7701366721418079,-2.1866956142731486,2.432610634914467,2.2890010564620367,6.2011900334696834,4.575754493565909,3.6790816666647297,,1.3902448549224733
2016-10-01,19304.352,13014.9,548.307,6454.322,-537.183,2799.72,2303.823,241.741,14235.4,4.9,1279000,10363000,745.1,5.880476,2.37,4.14,87.2,183.998,49.775238095238095,140.7,194.6,191.7,179.6,325368.0,237.714,264.459,52546.0,47270.0,221.04714068165947,178.74226250571922,,52284.0,0,0,106.41400000000067,-6.0,56.891999999999996,47.86200000000008,-57.65199999999999,0.0,-17.313000000000102,0.5650000000000261,26.299999999999272,-0.09999999999999964,273000.0,1925000.0,29.100000000000023,0.10175800000000024,0.08000000000000007,-0.2400000000000002,-4.0,0.0689999999999884,4.592857142857142,-8.5,-1.5,-0.8000000000000114,-1.200000000000017,213.0,-0.16599999999999682,0.35700000000002774,262.0,1578.0,1.255649173335911,5.733349282797775,-385.41710044467254,358.0,2.1815663030564147,2.3513868463891585,-7.325313911842713,3.3150404083477802,5.92609390097214,1.4566280271524956,1.3555141811833593,1.685924966243646,1.703948731504834,-1.9999999999999907,-4.19475655430711,-6.115238267802137,-6.500188229388881,2.9481039999804004,9.72222222222221,-18.982387475538175,-3.111111111111109,5.124293688474468,7.683518673567069,-15.79892280071814,-2.4561403508772006,1.1609498680738684,3.875072296124915,0.7640112604172744,-2.289505269561498,2.3594709768813615,3.0616848092576143,3.022906087221844,5.476576588402171,0.648142379018668,,2.2890010564620367
2016-11-01,19304.352,13036.8,548.307,6454.322,-537.183,2799.72,2303.823,242.026,14273.6,4.7,983000,8179000,759.0,5.880476,2.37,4.14,93.8,184.208,45.66095238095238,147.6,193.4,191.9,182.2,325562.0,237.438,264.699,52570.0,45581.0,221.4051668224968,172.19936607240678,,52546.0,0,0,0.0,21.899999999999636,0.0,0.0,0.0,0.0,0.0,0.2849999999999966,38.20000000000073,-0.20000000000000018,-296000.0,-2184000.0,13.899999999999977,0.0,0.0,0.0,6.599999999999994,0.21000000000000796,-4.114285714285714,6.900000000000006,-1.1999999999999886,0.20000000000001705,2.5999999999999943,194.0,-0.27600000000001046,0.2400000000000091,24.0,-1689.0,0.35802614083732465,-6.54289643331245,-385.41710044467254,262.0,2.1815663030564147,2.353772473894944,-7.325313911842713,3.3150404083477802,5.92609390097214,1.4566280271524956,1.3555141811833593,1.6843334719788938,2.002372547057907,-7.843137254901955,-8.472998137802612,-7.414534752094182,-1.4925373134328401,2.9481039999804004,9.72222222222221,-18.982387475538175,2.7382256297918905,5.190184959941502,7.580553867971251,-10.21897810218979,-2.3725391216557257,2.020202020202033,5.561993047508684,0.7579391729828355,-2.1302028803904305,2.277390313170158,2.557599641038655,5.687720274531616,4.789835740335668,3.3343928222250963,,3.0616848092576143
2016-12-01,19304.352,13128.5,548.307,6454.322,-537.183,2799.72,2303.823,242.637,14313.7,4.7,1261000,10242000,706.5,5.880476,2.37,4.14,98.2,184.38,51.9704761904762,153.1,194.5,192.4,179.3,325742.0,237.147,265.104,52953.0,49559.0,223.29188225024984,186.941728529181,,52570.0,0,0,0.0,91.70000000000073,0.0,0.0,0.0,0.0,0.0,0.61099999999999,40.100000000000364,0.0,278000.0,2063000.0,-52.5,0.0,0.0,0.0,4.400000000000006,0.17199999999999704,6.309523809523817,5.5,1.0999999999999943,0.5,-2.8999999999999773,180.0,-0.2909999999999968,0.4049999999999727,383.0,3978.0,1.886715427753046,14.74236245677423,-385.41710044467254,24.0,2.1815663030564147,2.7486245137861687,-7.325313911842713,3.3150404083477802,5.92609390097214,1.4566280271524956,1.3555141811833593,2.0507989115119862,1.8029615510448016,-5.999999999999995,16.328413284132836,16.188315371525807,-10.829231351760694,2.9481039999804004,9.72222222222221,-18.982387475538175,6.047516198704117,5.304639846480708,39.748270633805106,-4.551122194513724,-0.3075345976422339,-0.7223942208462342,4.0023201856148605,0.7497262756790635,-1.9567554159087175,2.3184367244699855,3.7216226274655817,4.632112319223047,5.7917075954212915,2.2612499455826107,,2.557599641038655
2017-01-01,19398.343,13136.3,505.484,6497.531,-525.099,2931.589,2359.904,243.618,14373.7,4.7,976000,8324000,762.6,5.74436,2.4,3.91,98.5,184.634,52.504,156.1,195.2,193.2,177.0,325901.0,237.072,266.079,53003.0,45897.0,223.57342916919757,172.4938833955329,,52953.0,0,0,93.9910000000018,7.799999999999272,-42.823000000000036,43.20899999999983,12.083999999999946,131.86900000000014,56.08100000000013,0.9809999999999945,60.0,0.0,-285000.0,-1918000.0,56.10000000000002,-0.13611599999999946,0.029999999999999805,-0.22999999999999954,0.29999999999999716,0.2539999999999907,0.5335238095237997,3.0,0.6999999999999886,0.799999999999983,-2.3000000000000114,159.0,-0.07499999999998863,0.9750000000000227,50.0,-3662.0,0.28154691894772554,-14.447845133648116,-385.41710044467254,383.0,2.0874616941966906,2.637767898302168,-4.281615997121735,2.9076274817091408,2.8964292852691864,4.7100781506722145,4.120516458770118,2.5103933482571117,1.7888124862794008,-2.083333333333326,-30.1859799713877,-24.587787642688895,-8.648778150455193,1.2673669966287937,11.627906976744185,-18.37160751565762,7.065217391304346,5.49549755450931,65.71580451177779,-6.246246246246246,0.9307135470527417,0.10362694300518616,1.8411967779056404,0.7393921034654305,-1.857110921600602,2.354611129490136,3.273386201118411,5.3384131647196575,5.22757906446043,2.9151613222921924,,3.7216226274655817
